rho_program,s,mu,b_met,SAM,met,tlogmu,resid,gain_dlnSAM_dlnmu,alpha_real,alpha_imag,small_noncons_real,small_noncons_imag
0.0,28.10952170137929,2.1412335784435235,64.2370073533057,10798.616571042092,22.79329793777501,0.0001932136896217,1.0267022622980232e-11,224.5602885001359,-7.163909186040117e-05,0.0,-7.163909186040117e-05,0.0
0.0,28.609521702495066,2.1414386106272048,64.24315831881614,11035.567964645508,22.79325739338565,0.0001867023054127,3.174628801768655e-09,228.76696481428144,-6.884016520781038e-05,0.0,-6.884016520781038e-05,0.0
0.0,29.109521703527868,2.141636776498846,64.24910329496538,11273.90990156132,22.793240157957666,0.000181004916664,2.9016562870938518e-09,233.00757174697355,-6.618959947670558e-05,0.0,-6.618959947670558e-05,0.0
0.0,29.609521704495656,2.141828931288964,64.25486793866891,11514.302958697132,22.79324394957526,0.0001762867767661,2.685092571296414e-09,237.27897881835025,-6.367064002978067e-05,0.0,-6.367064002978067e-05,0.0
0.0,30.109521705418583,2.142016104791576,64.26048314374728,11757.772426111444,22.793266959542343,0.0001728272145208,2.528840680473736e-09,241.6011609309581,-6.126538487260781e-05,0.0,-6.126538487260781e-05,0.0
0.0,30.60952170632179,2.1421996214036634,64.2659886421099,12005.93030230117,22.793307940008404,0.0001710991334136,2.4440639234989963e-09,246.0056199159672,-5.895343341345629e-05,0.0,-5.895343341345629e-05,0.0
0.0,31.109521707240788,2.142381303604908,64.27143910814723,12261.363911077246,22.793366391995168,0.0001719283933326,2.4556507632146807e-09,250.543495230638,-5.6709696702581066e-05,0.0,-5.6709696702581066e-05,0.0
0.0,31.609521708233583,2.1425638423646864,64.27691527094059,12528.36148244044,22.793442952323133,0.0001768466703427,2.619014873185277e-09,255.30147958202696,-5.450051276432131e-05,0.0,-5.450051276432131e-05,0.0
0.0,32.10952170941264,2.142751536054276,64.28254608162828,12814.391921481065,22.793540224104746,0.0001889791701157,3.1472078774889956e-09,260.4368025934351,-5.227604147480073e-05,0.0,-5.227604147480073e-05,0.0
0.0,32.609521711048004,2.1429519527346983,64.28855858204095,13133.51047453781,22.793664748349247,0.0002157001378036,4.485569005389031e-09,266.26765518959485,-4.9953420965718346e-05,0.0,-4.9953420965718346e-05,0.0
0.0,33.10952171401551,2.1431803377266063,64.29541013179819,13515.65095630956,22.793832517073312,0.0002788516278827,8.391827019202827e-09,273.57216414911863,-4.737283562002214e-05,0.0,-4.737283562002214e-05,0.0
