rM,rF,rH,residual,alpha,alpha_imag,SAM,Put,Spd,Spm
0.5,0.5,0.25,6.4655664999691e-07,-0.01447554955947302,0.0,55.31126980828853,106.40946678819219,80.61612686629375,60.7103637684382
0.5,0.5,0.5,4.013120360468747e-07,-0.01332640016127022,0.0,53.799022815380766,107.9476341661796,80.79414488427194,60.595856501063054
0.5,0.5,0.75,2.1178541231847703e-07,-0.012639182291000441,0.0,52.31829387682011,109.53953097355608,80.97410658777483,60.47956553885003
0.5,0.5,1.0,1.424543469852324e-07,-0.012323490914200978,0.0,50.87129427067893,111.18429136632126,81.15563998512532,60.361716494698555
0.5,0.75,1.0,3.0447608878603205e-09,-0.012346402549085736,0.0,50.49132272969153,114.38490211974663,83.5469453488687,61.68084030246991
0.5,0.75,0.75,5.7615714865733025e-08,-0.012658675185642135,0.0,51.97544009596013,112.33041008739112,83.09475693731045,61.65266411693475
0.5,0.75,0.5,8.775553794748703e-08,-0.013343823709001062,0.0,53.49446743908998,110.34338685475291,82.64477456902908,61.62243503924448
0.5,0.75,0.25,1.2202746546563503e-07,-0.014491614531992601,0.0,55.04605432699985,108.42481286497731,82.19798502124281,61.59025351937186
0.5,0.75,0.0,1.6044302952877842e-07,-0.016226102472392916,0.0,56.629117276081,106.57357505256763,81.75492741697856,61.556203468042646
0.5,1.0,0.0,4.99746732884887e-09,-0.01624141610629495,0.0,56.39594029732385,108.29415746572627,83.12382340836582,62.317189596313156
0.5,1.0,0.25,6.771226850332823e-07,-0.014508308250209741,0.0,54.772148024447745,110.52156830256556,83.83979342968209,62.499985641299716
0.5,1.0,0.5,4.218346916218252e-07,-0.013361918437863234,0.0,53.18116447920329,112.82951336063036,84.55956662280059,62.679923182471725
0.5,1.0,0.75,2.3041227592557334e-07,-0.012678915311545252,0.0,51.62411508939595,115.2194551563936,85.28225693311033,62.856742345196764
0.5,1.0,1.0,1.3397433207273934e-07,-0.012370186821704869,0.0,50.10348962139552,117.69023641324856,86.00623854305324,63.03002686161451
0.75,1.0,1.0,2.1045536868768977e-08,-0.012529164038324677,0.0,46.485037078030594,124.18980467892305,87.80597394476524,63.44418929219093
0.75,1.0,0.75,5.0127233919283753e-08,-0.012858560390144567,0.0,47.43281301803926,122.39564348515728,87.3236762066358,63.33551540643456
0.75,1.0,0.5,7.931075884926031e-08,-0.013574559635676189,0.0,48.36702643926503,120.69312688347195,86.8559729445844,63.22851395923029
0.75,1.0,0.25,1.1558785928400539e-07,-0.014767531603614128,0.0,49.27905082804988,119.0907057945754,86.40655213887192,63.12419243377611
0.75,1.0,0.0,1.582402475719391e-07,-0.016556367913901644,0.0,50.1592629032349,117.59708499474108,85.97935787525454,63.02366170823407
0.75,0.75,0.0,2.3958763861742227e-09,-0.016531491989290974,0.0,50.52071743128541,114.3430619236867,83.53786531804839,61.68029619492407
0.75,0.75,0.25,6.031040200582538e-07,-0.01474215645768729,0.0,49.66167130399689,115.58584589497008,83.80533738439263,61.69595225401866
0.75,0.75,0.5,3.671731860777072e-07,-0.013548537217262699,0.0,48.77143221934874,116.91903454501191,84.08721724007648,61.71161924995586
0.75,0.75,0.75,2.0605021688879788e-07,-0.012830907556651937,0.0,47.859313337121954,118.3354133027166,84.3811155018419,61.72704590731702
0.75,0.75,1.0,1.3355422368022118e-07,-0.0124982901806846,0.0,46.93364574701158,119.82800558500541,84.68479408538627,61.74201329432013
