name,r,rM,rF,rH,MAT_total,SAM,Put,Spd,Spm,alpha,residual
constant_total_MAT_only,0.75,0.75,0.0,0.0,480.0,114.37796313106969,86.10842417948633,85.76689739919891,68.9043284142012,-0.014745390354570292,3.7880738545936765e-09
constant_total_MAT_only,0.8,0.8,0.0,0.0,480.0,117.08331676683567,85.7235413706833,85.98522680491986,69.17811282239819,-0.014711871562036533,2.4372326379307196e-09
constant_total_MAT_only,0.8500000000000001,0.8500000000000001,0.0,0.0,480.0,119.6477704077648,85.37384434446496,86.18490418800673,69.42893218458147,-0.01468165139192752,1.5508305750699947e-09
constant_total_MAT_only,0.9,0.9,0.0,0.0,480.0,122.06902720528805,85.05638981007411,86.3672597272598,69.65834787211995,-0.014654423596798328,9.944756129698362e-10
constant_total_MAT_only,0.9500000000000001,0.9500000000000001,0.0,0.0,480.0,124.34709403003045,84.76836024333748,86.5336171608965,69.86793247839464,-0.0146298993185244,6.386926543200389e-10
constant_total_MAT_only,1.0,1.0,0.0,0.0,480.0,126.48398313202286,84.50708519261464,86.68527239357334,70.05924056796962,-0.01460780874968324,4.134221853746567e-10
original_full_65p06,0.0,0.0,0.0,0.0,480.0,65.06138248397946,98.20362967232711,79.59175253092295,61.35951148733721,-0.015875918996514093,1.2320427147782235e-11
original_full_65p06,0.05,0.05,0.05,0.05,467.0,63.93914800161107,98.71098530913429,79.4070083629268,61.12003436293609,-0.015510574555683406,1.5146355281103752e-09
original_full_65p06,0.1,0.1,0.1,0.1,454.0,62.82005188458599,99.30427326611004,79.28429571370741,60.91452084497618,-0.01517269613173864,1.3938006304670125e-09
original_full_65p06,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,441.0,61.70253850722165,99.98925724016159,79.22559482896833,60.743803590672506,-0.014861073782475056,1.8656294287211495e-09
original_full_65p06,0.2,0.2,0.2,0.2,428.0,60.58509501669098,100.7721535919821,79.23298410088148,60.60873506664224,-0.014574543351840432,2.849660063475312e-09
original_full_65p06,0.25,0.25,0.25,0.25,415.0,59.46623847800301,101.65968579799332,79.30863882361604,60.51018169452443,-0.014312001721140276,4.038696488350979e-09
original_full_65p06,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,402.0,58.34450187939587,102.65915118040182,79.4548317818821,60.44901851340741,-0.014072420529804192,5.509846801032836e-09
