tau,k,a,Y,rho,dom_real,dom_imag,npos
12.0,11,3.08534205494698,0.6543660320119069,0.2188697327218521,0.006069179756208967,0.0,1
12.0,12,3.0542556974244777,0.6849129728487056,0.2431676780218256,0.008876703639978297,0.0,1
12.0,13,3.017021738645568,0.7156838053504764,0.2682439301984014,0.010944709704689005,0.0,1
12.0,14,2.977105643961941,0.746765217530688,0.2940045952627441,0.01234975247149375,0.0,1
12.0,15,2.9368658628402224,0.7782566955873078,0.3203646341360784,0.013157179404321498,0.0,1
12.0,16,2.8979350790628526,0.8102575493065834,0.3472363698643621,0.013422408269134694,0.0,1
12.0,17,2.861464884057294,0.8428638317362448,0.3745257538428859,0.013193232189864419,0.0,1
12.0,18,2.8282828028273315,0.8761687866014105,0.4021320041730467,0.012511878494229502,0.0,1
12.0,19,2.798995153444369,0.9102644737431947,0.4299487450742069,0.011416584949824223,0.0,1
12.0,20,2.774056355602071,0.9452437160866966,0.457865797973457,0.009942732435997706,0.0,1
12.0,21,2.7538171231902875,0.9812020583743508,0.4857711912778249,0.008123625258146314,0.0,1
12.0,22,2.738559080141325,1.0182396189278564,0.513553133509847,0.005990998152559638,0.0,1
12.0,23,2.728520417267978,1.0564627728287188,0.5411017829091483,0.0035752923006625885,0.0,1
12.0,24,2.723915431021109,1.0959856129392316,0.5683107061313902,0.0009056644568704946,0.0,1
12.0,25,2.724949675187028,1.1369311267174813,0.5950779714884715,-0.001990537318672622,0.0,0
12.0,26,2.731831743814541,1.1794320139934418,0.6213068734889708,-0.0050901377022455774,0.0,0
12.0,27,2.74478223457972,1.2236310583756065,0.6469063334221108,-0.008387699420937124,0.0,0
12.0,28,2.7640401284262643,1.2696809556776292,0.6717910615304721,-0.012313051326805612,0.00035957667797719485,0
12.0,29,2.789866615480831,1.3177435009905558,0.6958815963751199,-0.013208917702100987,0.0,0
12.0,30,2.822546278652215,1.3679880488296836,0.7191043535376372,-0.012987007746788218,0.0,0
12.0,31,2.862385515562151,1.4205891977062317,0.7413918163141007,-0.012919463386806674,0.0,0
12.0,32,2.909708151067691,1.47572372121227,0.7626829826580005,-0.01287800961763759,0.0,0
12.0,33,2.9648483835742443,1.5335668772259945,0.7829241423072283,-0.012848337906733053,0.0,0
12.0,34,3.0281415197188606,1.5942883684369122,0.8020699944498721,-0.01282613199460919,0.0,0
12.0,35,3.099913347580997,1.6580483761794294,0.8200850331780569,-0.012809431921835727,0.0,0
12.0,36,3.1804693898914445,1.7249942013978905,0.8369450377545088,-0.012797076010492714,0.0,0
12.0,37,3.270085532395668,1.795258068054652,0.8526384294665387,-0.012788240461430293,0.0,0
12.0,38,3.369001502247352,1.8689565352432629,0.8671672236308753,-0.012782273504850157,0.0,0
12.0,39,3.477418304798532,1.946191724408819,0.8805473352152741,-0.012778628864530047,0.0,0
12.0,40,3.595500064218718,2.0270542507138805,0.892808091901344,-0.012776837635182118,0.0,0
24.0,0,2.3,0.4506841587475154,0.0838642222014523,-0.015160117599106212,0.0,0
24.0,1,2.4,0.4573664620023649,0.0873195875760366,-0.01509823681630687,0.0,0
24.0,2,2.478759484216772,0.4631904005224319,0.0903925540060058,-0.015023328052928078,0.0,0
24.0,3,2.570437535776777,0.4707532177939157,0.094467797728289,-0.014860370156345466,0.0,0
24.0,4,2.67605291157263,0.4808406484677544,0.1000509974133077,-0.014302433514009007,0.0,0
