rho,SAM_uM,Putrescine_uM,Spermidine_uM,Spermine_uM,dcSAM_uM,Vmax_ODC,Vmax_SSAT,Vmax_SAMDC,Antz,spectral_abscissa_per_h,polyamine_pair_real_per_h,polyamine_pair_imag_per_h,antz_mode_real_per_h,theta_ODCsyn_SAM,theta_SAMDCsyn_SAM,residual_scaled_max
0.43,55.40392444538998,105.840909921448,80.18239696531613,60.47129101372726,0.010915626949529232,77.90225411771445,42.19610639371302,22.76557537005486,0.5844651256343587,-0.013550493346668583,-0.07647947316753195,0.06817776555921592,-0.019700299626095197,-0.46973911361937615,-0.46973911361937615,5.57816700826807e-12
0.44,55.175751585932574,106.12383094668307,80.26005735662756,60.48416305456861,0.010919647146330527,78.1125885910306,42.223266123358854,22.83314500087957,0.5846213885043724,-0.01351611075288435,-0.07655464038426832,0.06818234901286269,-0.019701440779910644,-0.4809153488055636,-0.48091534880556347,1.4679521986466492e-12
0.45,54.94723428207072,106.41261359878922,80.34092408129077,60.498664367108304,0.010924160657148095,78.32732455236663,42.2518765345197,22.90235634699871,0.5847858707771151,-0.013482525178347951,-0.07662937930792448,0.0681860996312481,-0.019702596724600317,-0.49206713510859557,-0.4920671351085956,9.10138306545653e-12
0.46,54.7183595960627,106.70734675746095,80.4250195065759,60.51480198792439,0.010929170010657251,78.54652914093897,42.28194644835007,22.97323399567055,0.5849586034399772,-0.01344973206342466,-0.07670368494482714,0.06818900376106818,-0.019703767384478585,-0.5031919506989472,-0.5031919506989472,1.9126980292700148e-12
0.47000000000000003,54.48911444077898,107.00812131522216,80.51236625976053,60.532582958605104,0.01093467777195897,78.7702710337708,42.31348476550966,23.04580310415521,0.5851396168047944,-0.013417727051193994,-0.07677755222285486,0.0681910474768334,-0.019704952680246378,-0.5142872751791531,-0.514287275179153,3.552243718780368e-12
0.48,54.259485568836205,107.31503025533857,80.60298723857444,60.55201432757863,0.010940686543592024,78.99862050516688,42.34650046984591,23.120089421143174,0.5853289405131071,-0.013386505990268633,-0.07685097598863147,0.06819221658047016,-0.01970615252907315,-0.5253505910351303,-0.5253505910351303,5.871996883234796e-13
0.49,54.029459561279346,107.62816873383012,80.69690562239565,60.573103152198655,0.010947198966624213,79.23164948931392,42.3810026323783,23.19611930929641,0.5855266035430677,-0.013356064937609718,-0.07692395100459953,0.0681924966009559,-0.019707366844680985,-0.5363793850881087,-0.5363793850881089,1.4680092075734172e-12
0.5,53.79902281579001,107.94763416582734,80.79414488423865,60.59585650109723,0.010954217721826781,79.4694316461907,42.417000415600754,23.273919768967996,0.585732634218068,-0.013326400162045234,-0.0769964719460408,0.0681918727939171,-0.019708595537432913,-0.5473711499448487,-0.5473711499448488,2.9360369634920153e-12
0.51,53.56816153439506,108.27352631653221,80.89472880357923,60.62028145681834,0.01096174553093674,79.71204243098803,42.45450307811927,23.35351846317153,0.5859470602171615,-0.01329750814708705,-0.07706853339802319,0.06819033014137392,-0.0197098385144276,-0.5583233854438066,-0.5583233854438066,1.1157005508953515e-11
0.52,53.336861710649885,108.60594739706121,80.99868148006279,60.64638511874677,0.010969785158011586,79.95955916724934,42.493519979642876,23.434943743875888,0.5861699085873553,-0.013269385594316566,-0.07714012985226826,0.06818785335152623,-0.019711095679596776,-0.5692336000948532,-0.5692336000948532,4.919072605388897e-12
0.53,53.10510911626927,108.94500216546547,81.10602734814368,60.6741746063456,0.010978339410881558,80.2120611239585,42.5340605863468,23.518224679705853,0.5864012057578512,-0.01324202942645154,-0.07721125570395365,0.06818442685852262,-0.019712366933807877,-0.5800993125101348,-0.5800993125101347,3.229692403448614e-12
0.54,52.87288928717603,109.29079803324507,81.21679119270857,60.70365706271785,0.010987411142704788,80.46962959681585,42.57613447662792,23.603391085135502,0.5866409775563198,-0.013215436791192454,-0.07728190524850316,0.06818003482224899,-0.019713652174972784,-0.590918052823628,-0.5909180528236281,1.29188259008726e-11
0.55,52.640187508937,109.64344517769659,81.3309981657376,60.7348396585085,0.01099700325363065,80.73234799396178,42.61975134727383,23.69047355126616,0.5868892492272875,-0.01318960506377671,-0.07735207267824848,0.0681746611281993,-0.0197149512981602,-0.601687364096936,-0.6016873640969361,3.826189748854225e-12
0.56,52.4069888015551,110.00305666045296,81.44867380406188,60.76772959616268,0.011007118692577403,81.00030192642225,42.66492102006736,23.779503478287904,0.5871460454527281,-0.013164531851208727,-0.07742175207917043,0.06816828938718972,-0.0197162641957154,-0.6124048037088233,-0.6124048037088233,8.199143042165248e-12
0.5700000000000001,52.17327790358105,110.36974855260472,81.56984404827801,60.80233411455788,0.011017760459130452,81.27357930357414,42.711653448850754,23.870513109730517,0.5874113903749474,-0.013140214996123658,-0.07749093742759136,0.0681609029351164,-0.019717590757384718,-0.6230679447260156,-0.6230679447260157,4.404189640584601e-12
0.58,51.939039255510544,110.74364006681631,81.69453526288454,60.83866049402799,0.011028931605567371,81.55227043394544,42.759958727073744,23.963535568616923,0.5876853076218543,-0.013116652579530565,-0.07755962258668991,0.06815248483281602,-0.019718930870443276,-0.6336743772527396,-0.6336743772527395,5.872266735260826e-13
0.59,51.70425698242799,111.12485369688004,81.82277425770955,60.87671606179885,0.011040635239017204,81.83646813168897,42.80984709585252,24.058604895640407,0.5879678203347183,-0.013093842925792623,-0.07762780130329644,0.06814301786558635,-0.01972028441983245,-0.644221709756501,-0.6442217097565008,5.285049891983774e-12
0.6,51.4689148758549,111.51351536518627,81.95458831070142,60.9165081978547,0.011052874523760988,82.12626782909693,42.86132895256683,24.15575608949638,0.588258951198513,-0.0130717846057506,-0.07769546720445739,0.06813248454284787,-0.019721651288301983,-0.6547075703675872,-0.6547075703675873,9.102042692074061e-12
0.61,51.2329963747619,111.90975457861686,82.09000519216086,60.95804434125683,0.011065652683681544,82.42176769554159,42.91441486002531,24.255025149507702,0.5885587224749542,-0.013050476441899326,-0.07776261379418789,0.06812086709758619,-0.019723031356555485,-0.6651296081497798,-0.6651296081497798,4.1106033997972255e-12
0.62,50.996484545697285,112.31370459341257,82.2290531904966,61.00133199693748,0.011078973004870724,82.72306876326567,42.96911555623022,24.356449120694105,0.5888671560383392,-0.013029917511420203,-0.07782923445017254,0.06810814748569606,-0.019724424503407594,-0.6754854943397756,-0.6754854943397756,6.013357820686403e-12
0.63,50.759362061983644,112.72550258960281,82.37176113959033,61.04637874299118,0.011092838838402964,83.03027506047087,43.025441964774444,24.460066141446905,0.5891842734143095,-0.013010107151892186,-0.0778953224206376,0.06809430738512459,-0.01972583060594466,-0.6857729235528259,-0.685772923552826,9.379164112033322e-13
0.64,50.521611181931796,113.14528985562877,82.51815844786687,61.09319223848932,0.01110725360328438,83.343493752189,43.08340520590685,24.565915493982153,0.5895100958216531,-0.0129910449654834,-0.0779608708211803,0.06807932819492366,-0.01972724953968971,-0.6959896149521066,-0.6959896149521068,2.7334308102879664e-12
0.65,50.28321372601625,113.57321198384358,82.66827512916514,61.141780231843484,0.011122220789587483,83.66283528945716,43.14301660830258,24.674037657759246,0.5898446442172764,-0.012972730824021301,-0.07802587263179817,0.0680631910340212,-0.01972868117877813,-0.7061333133793636,-0.7061333133793636,4.37355462546868e-12
0.66,50.044151052954525,114.0094190776207,82.82214183551783,61.192150569745976,0.011137743961781826,83.98841356735852,43.20428772157913,24.784474366065602,0.590187939344479,-0.012955164873783438,-0.07809032069388813,0.0680458767398465,-0.019730125396136486,-0.716201790444383,-0.7162017904443829,6.459497067544812e-12
0.67,49.80440403462827,114.45406597086074,82.9797898919507,61.24431120671577,0.011153826762272051,84.32034609253246,43.267230329599926,24.897268665984143,0.5905400017846723,-0.012938347541669531,-0.07815420770778911,0.06802736586634228,-0.019731582063675857,-0.7261928455708738,-0.7261928455708737,6.833871594230284e-12
0.68,49.563953029779555,114.90731246074895,83.14125133342195,61.29827021528219,0.011170472915155036,84.65875416080776,43.331856464611235,25.01246498197718,0.5909008520126923,-0.012922279539947774,-0.07821752623001582,0.0680076386821288,-0.0197330510524845,-0.7361043069963585,-0.7361043069963588,4.404180304596088e-12
0.6900000000000001,49.32277785641208,115.36932355468126,83.30655894402958,61.35403579683821,0.011187686230209043,85.0037630456611,43.39817842226032,25.130109183338615,0.5912705104558624,-0.012906961872863425,-0.07828026867086788,0.06798667516810596,-0.01973453223302575,-0.7459340327237167,-0.7459340327237167,4.6471530563663215e-12
0.7000000000000001,49.08085776282282,115.84026973235163,83.47574629862305,61.411616293199124,0.011205470607128235,85.3555021982624,43.46620877754664,25.250248655786915,0.5916489975569713,-0.012892395842855803,-0.07834242729277521,0.06796445501425036,-0.019736025475363145,-0.7556799114220261,-0.7556799114220258,1.9378254346054113e-11
