policy,rho,s,mu,b_met,SAM,met,tlogmu,alpha,residual,ds
constant-total,1.0,8.177345164933797,3.547928135015285,106.43784405045855,1649.623238993463,140.90579886686507,0.14045470579011604,-0.011133587813500299,1.831417382131836e-11,0.25
constant-total,1.0,8.427362446457758,3.674957716420821,110.24873149262463,1739.2548323195476,148.248266313261,0.14095771558142162,-0.011132017199388165,1.4182754973025975e-11,0.25
constant-total,1.0,8.677377687106256,3.807054833663658,114.21164500990974,1830.4337524105936,155.73075832609453,0.1415464402956436,-0.011130642478571378,6.934897101018578e-12,0.25
constant-total,1.0,8.927391137642509,3.9445155864339845,118.33546759301953,1923.0527385015325,163.3435690507277,0.14220633624721746,-0.011129439880339893,1.6720579700561607e-11,0.25
constant-total,1.0,9.177403021701082,4.087644227268724,122.62932681806171,2017.0116697179194,171.0774561456855,0.14292625616671822,-0.011128387715101246,9.973679119633238e-12,0.25
constant-total,1.0,9.427413536457074,4.236755901584724,127.10267704754172,2112.217301271113,178.9236863162205,0.14369822347348976,-0.01112746646359666,6.821210263296962e-12,0.25
constant-total,1.0,9.677422854485258,4.392179683541689,131.76539050625067,2208.5829408714567,186.87405986844175,0.14451709936194157,-0.01112665876538134,9.680335616114615e-12,0.25
constant-total,1.0,9.927431126167656,4.55426183090273,136.6278549270819,2306.028090132797,194.92091836965523,0.14538020474447025,-0.011125949332315008,4.091179319142108e-12,0.25
constant-total,1.0,10.177438482247968,4.723369218695682,141.70107656087046,2404.4780682540477,203.05713913129148,0.14628694020770017,-0.011125324813097248,3.520122042223496e-12,0.25
constant-total,1.0,10.427445036303304,4.899892942044356,146.99678826133066,2503.8636300466774,211.2761197801951,0.14723843160346609,-0.011124773628298678,9.093648609077364e-12,0.25
constant-total,1.0,10.677450887017535,5.084252103368429,152.52756310105286,2604.1205867465633,219.57175570396407,0.1482372170144846,-0.01112428579274736,9.093648609077364e-12,0.25
constant-total,1.0,10.927456120210588,5.276897819214,158.30693457642,2705.1894354881647,227.93841268196888,0.14928698231389514,-0.011123852736453521,1.0560366126670487e-11,0.25
constant-total,1.0,11.177460810617918,5.478317498506535,164.34952495519605,2807.015001470698,236.37089656910828,0.15039234681967822,-0.011123467132506788,1.028865881380625e-11,0.25
constant-total,1.0,11.427465023435024,5.689039458290326,170.67118374870978,2909.5460954748432,244.86442149850026,0.15155869700722138,-0.011123122736362356,1.5253862182968483e-11,0.25
constant-total,1.0,11.677468815650919,5.909637956247878,177.28913868743635,3012.735188346347,253.4145777193548,0.152792064309157,-0.011122814240212503,5.229594535194337e-12,0.25
constant-total,1.0,11.927472237197076,6.140738732600825,184.22216197802476,3116.538103256386,262.0172998892009,0.1540990422168674,-0.011122537142227357,1.2027083644263612e-11,0.25
